SO     NE     MM     AD     CE     CA     DA     OD
 0  0.130  1.401  1.431  1.288  1.144  1.530  1.468
 0  0.140  5.759  5.980  5.537  5.085  5.891  5.846
 0  0.150 13.283 14.210 13.442 13.046 14.451 14.405
 0  0.160 17.621 19.329 18.326 18.260 19.871 19.840
 0  0.170 21.281 24.119 22.771 23.240 25.053 25.036
 0  0.180 23.953 28.234 26.430 27.620 29.660 29.659
 1  0.180 17.978 20.095 18.941 18.984 20.589 20.584
 0  0.190 25.404 31.143 28.856 30.762 32.936 32.944
 1  0.190 21.304 24.851 23.230 24.062 25.902 25.897
