     NE     MM     AD     CE     CA     DA     OD
  0.130  8.662  9.082  9.291  9.078  9.189  9.190
  0.140 15.195 16.564 16.491 16.641 16.777 16.781
  0.150 23.423 27.187 26.050 27.293 27.331 27.324
  0.160 27.431 33.440 31.242 33.390 33.372 33.371
  0.170 30.493 39.470 35.844 39.174 39.107 39.099
  0.180 32.463 44.928 39.603 44.295 44.207 44.193
  0.190 33.267 49.006 42.029 47.985 47.647 47.619
